alg	Rate_-10.0	Rate_-5.0	Rate_-2.0	Rate_-1.0	Rate_-0.5
fc	1.48769885299771e-14	4.88498130835069e-15	5.55111512312578e-16	0	0
lourvain	4.44089209850063e-14	1.30007116183606e-13	3.73701070088828e-13	5.55111512312578e-16	0
lec	4.44089209850063e-14	4.44089209850063e-14	1.30007116183606e-13	3.73701070088828e-13	0
infomap	1.42548528536679e-10	1.20755092591907e-08	0.000139569722683031	0.0324403450238883	1.09847528400042e-05
sgG1	4.44089209850063e-14	1.30007116183606e-13	2.92077473318386e-12	1.42548528536679e-10	1.42548528536679e-10
sgG2	7.93931587139696e-12	3.59572593922053e-10	6.25545630850155e-08	1.09847528400042e-05	2.16312345813208e-09
sgG5	2.77422098626801e-08	1.34138742147183e-06	0.00131495133260573	0.00918640609116927	2.16312345813208e-09
wt	1.30007116183606e-13	1.05460085109144e-12	5.54652990203408e-11	2.77422098626801e-08	0.00131495133260573
fc_2	1.05460085109144e-12	2.11817230422184e-11	2.77422098626801e-08	1.09847528400042e-05	7.93931587139696e-12
lourvain_2	1.30007116183606e-13	3.73701070088828e-13	2.11817230422184e-11	5.15884168716951e-09	1.11022302462516e-16
sgG1_2	1.05460085109144e-12	5.54652990203408e-11	6.25545630850155e-08	4.06467718991887e-05	1.38439264940615e-07
Geodesicdiff	1.30007116183606e-13	1.05460085109144e-12	5.54652990203408e-11	6.25545630850155e-08	1.42548528536679e-10
Spectral	1.30007116183606e-13	1.05460085109144e-12	5.54652990203408e-11	1.38439264940615e-07	0.00581116425948702
Spectral_1.5	3.73701070088828e-13	1.05460085109144e-12	1.05460085109144e-12	1.48769885299771e-14	0
Spectral_1.25	3.73701070088828e-13	2.92077473318386e-12	7.93931587139696e-12	1.30007116183606e-13	0
Spectral_1	3.73701070088828e-13	7.93931587139696e-12	5.15884168716951e-09	8.90210571924399e-10	1.55431223447522e-15
