Entrez ID,1.Völgyi_2017,2.Neuner_2017,3.Sweet_2016,5.Chang_2015,6.Chang_2013,7.Zolochevska_2018,8.Krivinko_2018,count
93185,0,1,0,0,0,0,0,1
4099,0,1,0,0,0,0,0,1
523,0,0,0,0,1,0,0,1
9228,0,0,1,0,0,0,0,1
526,0,1,0,0,0,0,0,1
527,0,1,0,0,0,0,0,1
91663,0,1,0,0,0,0,0,1
529,0,1,0,0,0,0,0,1
9230,0,1,0,0,0,0,0,1
5091,0,0,0,0,0,1,0,1
3094,1,0,0,0,0,0,0,1
535,0,0,0,0,0,0,1,1
3615,0,1,0,0,0,0,0,1
4130,0,0,1,0,0,0,1,2
2596,0,1,0,0,0,0,0,1
4133,0,0,1,0,0,0,0,1
2597,0,0,1,0,0,1,0,2
6184,0,1,0,0,0,0,0,1
10801,0,0,1,1,0,0,1,3
5682,1,0,0,0,0,0,1,2
50,0,1,0,0,0,0,0,1
6708,0,0,0,0,0,0,1,1
6709,0,1,0,0,0,1,0,2
286262,0,1,0,0,0,0,0,1
6711,0,1,0,0,0,0,0,1
6710,0,0,0,0,0,0,1,1
2617,1,0,0,0,0,0,0,1
54331,0,1,0,0,0,0,0,1
60,0,0,0,0,1,0,0,1
5694,0,0,0,1,0,0,0,1
11331,0,0,0,0,0,0,1,1
5702,1,0,0,0,0,0,0,1
71,0,0,0,0,0,1,0,1
5704,1,0,0,0,0,0,0,1
586,1,0,0,0,0,0,0,1
4172,0,1,0,0,0,0,0,1
9804,0,1,0,0,0,0,0,1
11345,0,0,0,1,0,0,0,1
11346,1,0,0,0,0,0,0,1
4698,0,0,0,0,0,1,0,1
4700,0,1,0,0,0,0,0,1
4701,0,1,0,0,0,0,0,1
4190,0,0,0,0,1,0,0,1
4191,0,1,0,0,0,1,0,2
5217,0,0,0,0,0,1,0,1
8803,0,1,1,0,0,0,0,2
7781,0,0,0,1,0,0,0,1
9318,1,0,0,0,0,0,0,1
4199,1,0,0,0,0,0,0,1
5223,0,0,0,0,1,0,0,1
2664,0,0,0,0,1,0,0,1
2665,0,0,0,0,1,0,0,1
6252,0,1,0,0,0,0,0,1
7277,0,0,0,1,0,0,0,1
622,0,1,0,0,0,0,0,1
2670,0,1,0,0,0,1,0,2
7280,0,0,0,0,0,1,0,1
23154,0,1,1,0,0,0,0,2
112755,1,0,1,0,0,0,0,2
115827,0,1,0,0,0,0,0,1
1653,1,0,0,0,0,0,0,1
3190,1,0,0,0,0,0,0,1
7284,0,1,0,0,0,0,0,1
119,0,0,1,0,0,0,0,1
4724,0,0,1,0,0,0,0,1
26227,0,0,0,0,1,0,0,1
4723,0,0,0,0,0,1,0,1
3708,0,1,0,0,0,0,1,2
30845,0,0,0,1,1,0,0,2
6262,0,0,0,0,0,0,1,1
8831,0,1,0,0,0,0,1,2
4735,0,0,1,1,0,0,1,3
1152,0,0,0,0,1,1,0,2
5245,0,0,0,0,0,0,1,1
57468,0,0,0,0,0,0,1,1
4741,0,0,0,1,0,1,0,2
134,0,1,0,0,0,0,0,1
54918,0,1,0,0,0,0,0,1
3208,0,0,1,0,0,0,0,1
2697,1,0,0,0,0,0,0,1
4744,0,0,0,1,0,0,0,1
23176,0,0,0,1,1,0,0,2
10376,0,0,0,0,0,1,0,1
84617,0,0,0,0,0,1,0,1
10382,0,0,0,1,0,1,0,2
1173,0,0,1,0,0,0,0,1
6543,0,0,0,0,0,0,1,1
9369,0,1,0,0,0,0,0,1
6812,0,0,0,0,0,1,0,1
55964,0,0,0,0,0,0,1,1
161,0,1,0,0,0,0,0,1
163,0,1,0,0,0,0,0,1
7846,0,0,0,0,1,1,0,2
25769,0,1,0,0,0,0,0,1
5802,0,1,0,0,0,0,0,1
7345,0,0,0,0,1,1,0,2
3251,1,0,0,0,0,0,0,1
10935,0,0,0,0,1,0,0,1
2746,0,1,0,0,1,0,0,2
6843,1,0,0,0,0,0,0,1
6844,0,0,1,0,0,0,0,1
1211,0,0,0,0,0,1,0,1
2752,0,0,0,0,1,0,0,1
9922,0,1,0,0,0,0,0,1
5315,0,0,0,0,1,0,0,1
6853,0,1,0,0,0,1,1,3
6854,0,1,0,1,0,0,0,2
1737,0,1,0,0,0,0,0,1
3785,0,1,0,0,0,0,0,1
203,0,0,1,0,0,0,0,1
6857,0,0,0,0,1,0,0,1
1742,0,0,0,0,0,0,1,1
1743,0,1,0,1,0,0,0,2
4817,1,0,0,0,0,0,0,1
8402,0,0,0,0,0,0,1,1
2770,0,0,0,0,0,0,1,1
10452,1,0,0,0,0,0,0,1
2773,0,1,0,0,0,0,0,1
54996,0,1,0,0,0,0,0,1
2775,0,0,0,0,1,0,0,1
2776,0,0,1,0,0,0,0,1
10971,0,0,1,0,0,0,0,1
1759,0,0,0,0,0,1,0,1
25824,0,0,0,0,0,1,0,1
230,0,0,0,0,1,0,0,1
3306,0,0,1,0,0,0,0,1
10989,0,1,0,0,0,0,0,1
92399,0,0,0,0,1,0,0,1
3312,0,1,0,0,1,0,0,2
9456,0,0,1,0,0,0,1,2
100526833,0,0,0,0,0,0,1,1
7923,0,1,0,0,0,0,0,1
4340,1,0,0,0,0,0,0,1
1267,0,0,1,0,0,1,0,2
2806,0,1,0,0,0,0,0,1
10487,0,1,0,0,0,0,0,1
6900,0,0,0,1,0,0,0,1
2805,0,0,0,0,1,0,0,1
3315,0,0,0,0,1,0,0,1
7414,0,0,0,0,0,1,0,1
7417,0,0,0,0,0,0,1,1
10493,0,0,0,1,0,0,0,1
50944,1,0,0,0,0,0,0,1
2819,1,0,0,0,0,0,0,1
2823,0,1,0,0,0,0,0,1
2824,0,1,0,0,0,0,0,1
3848,0,1,0,0,0,1,0,2
3849,0,1,0,0,0,0,0,1
5898,0,1,1,0,0,0,0,2
7431,0,0,1,0,0,0,0,1
2319,0,0,1,0,0,0,0,1
1808,0,0,1,0,1,0,0,2
3857,0,0,0,0,0,1,0,1
5906,1,0,0,0,0,0,0,1
3858,0,1,0,0,0,1,0,2
4884,0,1,0,0,0,0,0,1
794,1,0,0,0,0,0,0,1
28958,0,1,0,0,0,0,0,1
287,0,1,0,0,0,0,1,2
10015,0,0,0,0,1,0,0,1
4897,0,1,0,0,0,0,0,1
286,0,0,0,0,0,0,1,1
292,0,0,0,0,0,0,1,1
5413,0,0,0,1,0,0,0,1
6950,0,1,0,0,0,0,0,1
8997,0,0,0,0,0,0,1,1
811,0,0,0,0,0,1,0,1
2861,0,1,0,0,0,0,0,1
25902,0,1,0,0,0,0,0,1
302,0,0,0,0,0,1,0,1
815,0,0,0,0,0,1,1,2
1329,0,1,0,0,0,0,0,1
9522,1,1,0,0,0,0,0,2
816,0,0,0,0,0,0,1,1
348980,0,1,0,0,0,0,0,1
308,0,0,0,0,1,0,0,1
57142,0,1,0,0,0,0,0,1
80700,0,0,0,0,1,0,0,1
11069,0,0,1,0,0,0,0,1
55102,0,1,0,0,0,0,0,1
22848,1,0,0,0,0,0,0,1
1345,0,1,0,0,0,0,0,1
11076,0,0,0,1,1,0,0,2
2890,0,1,0,0,0,0,1,2
10059,0,1,0,0,0,0,0,1
5962,0,0,1,0,0,0,0,1
